Date,Open,High,Low,Close,Adj Close,Volume
2018-04-09,40.560001,40.970001,39.919998,40.240002,37.918770,490100
2018-04-16,40.540001,41.863998,40.022999,40.869999,38.512428,1190300
2018-04-23,41.099998,41.119999,38.439999,39.380001,37.108376,1128300
2018-04-30,39.310001,40.109001,38.570000,39.910000,37.607807,815900
2018-05-07,40.189999,43.025002,40.189999,42.876999,40.403656,1242600
2018-05-14,42.990002,43.599998,42.320000,42.619999,40.161476,1234500
2018-05-21,43.000000,43.500000,42.480000,43.189999,40.698601,1407600
2018-05-28,43.000000,44.060001,42.594002,43.770000,41.245140,1139700
2018-06-04,44.020000,46.180000,43.720001,45.700001,43.063812,1933500
2018-06-11,45.840000,47.328999,45.520000,47.279999,44.552670,2077700
2018-06-18,46.910000,48.570000,46.299999,46.610001,43.921318,2907100
2018-06-25,46.220001,46.380001,44.049999,44.980000,42.385342,2329300
2018-07-02,44.779999,46.790001,44.570000,46.700001,44.006134,956500
2018-07-09,47.250000,47.950001,46.049999,47.740002,44.986134,1799000
2018-07-16,47.750000,47.750000,46.334000,47.270000,44.543247,1319300
2018-07-23,47.150002,47.619999,44.360001,44.720001,42.140343,1821400
2018-07-30,44.730000,46.130001,43.509998,45.470001,42.847080,1747100
2018-08-06,45.570000,47.349998,45.410000,46.930000,44.222862,1878900
2018-08-13,47.040001,47.098999,45.380001,45.830002,43.186314,1331400
2018-08-20,45.750000,48.130001,45.451000,48.060001,45.287678,1336600
2018-08-27,48.389999,49.869999,48.130001,49.700001,46.833073,1595600
2018-09-03,49.430000,49.500000,46.180000,46.730000,44.034397,1645300
2018-09-10,47.000000,48.599998,46.400002,48.240002,45.457291,1188400
2018-09-17,48.090000,48.700001,47.130001,47.160000,44.439590,1368900
2018-09-24,46.750000,48.330002,46.570999,47.340000,44.609211,1086400
2018-10-01,48.349998,48.480000,43.169998,43.980000,41.443027,2170900
2018-10-08,43.759998,44.077999,40.330002,42.020000,39.596096,3368400
2018-10-15,41.779999,44.000000,41.049999,41.320000,38.936466,1368900
2018-10-22,41.619999,42.108002,39.389999,40.900002,38.540699,1739500
2018-10-29,41.970001,45.919998,39.750000,45.480000,42.856503,2068700
2018-11-05,45.520000,46.220001,43.910000,44.375999,41.816185,1725800
2018-11-12,44.130001,44.180000,42.292999,43.669998,41.150909,1129600
2018-11-19,43.470001,43.500000,39.889999,41.709999,39.303970,1065100
2018-11-26,42.349998,44.480000,42.279999,44.450001,41.885918,997900
2018-12-03,46.000000,46.000000,41.919998,42.099998,39.671474,1239600
2018-12-10,41.950001,44.049999,41.459999,41.770000,39.360516,1509100
2018-12-17,41.450001,41.647999,35.669998,35.849998,33.782005,2781700
2018-12-24,35.430000,37.590000,34.750000,36.770000,34.648937,2850000
2018-12-31,37.000000,38.560001,35.910000,38.430000,37.376720,1451000
2019-01-07,38.669998,41.889999,38.389999,41.779999,40.634903,2431600
2019-01-14,41.200001,43.139999,40.900002,42.799999,41.626945,1985400
2019-01-21,42.119999,42.639999,40.330002,42.570000,41.403248,1235200
2019-01-28,41.759998,43.509998,41.130001,43.110001,41.928452,1490000
2019-02-04,43.049999,44.349998,42.125000,42.990002,41.811741,1542100
2019-02-11,43.160000,45.189999,43.136002,45.189999,43.951443,1473400
2019-02-18,45.009998,45.874001,44.490002,45.770000,44.515549,1575600
2019-02-25,46.459999,46.889999,45.790001,46.799999,45.517315,1392200
2019-03-04,47.189999,47.240002,43.380001,44.860001,43.630489,1866700
2019-03-11,45.139999,47.258999,45.000000,46.990002,45.702106,2037700
2019-03-18,47.000000,48.150002,46.040001,46.049999,44.787872,1832300
2019-03-25,45.820000,46.830002,44.922001,46.730000,45.449234,2042500
2019-04-01,47.320000,49.080002,47.075001,48.910000,47.569485,1681300
2019-04-08,48.779999,48.980000,48.209999,48.459999,47.131817,1550500
2019-04-15,48.500000,48.709999,46.412998,47.090000,45.799366,1561200
2019-04-22,46.970001,48.590000,46.844002,47.689999,46.382923,1572800
2019-04-29,47.720001,48.389999,46.139999,48.389999,47.063740,1835100
2019-05-06,47.060001,48.855000,44.910000,46.240002,44.972668,1866000
2019-05-13,44.830002,45.508999,43.630001,43.959999,42.755154,2022200
2019-05-20,43.180000,43.950001,41.669998,42.139999,40.985035,2114600
2019-05-27,42.290001,42.580002,40.674999,40.730000,39.613682,1319500
2019-06-03,40.730000,43.310001,39.880001,43.209999,42.025707,2317300
2019-06-10,43.540001,44.320000,42.799999,43.070000,41.889549,1204800
2019-06-17,43.169998,46.020000,43.153999,45.439999,44.194588,1358500
2019-06-24,45.560001,48.049999,44.299999,47.980000,46.664974,1448700
2019-07-01,48.759998,48.840000,47.112000,47.799999,46.489906,936700
2019-07-08,47.580002,48.950001,47.080002,48.459999,47.131817,1056300
2019-07-15,48.599998,49.040001,48.050999,48.290001,46.966476,696600
2019-07-22,48.509998,49.919998,48.216999,49.349998,47.997429,1040800
2019-07-29,49.250000,49.610001,45.709999,46.119999,44.855949,1388200
2019-08-05,44.970001,45.950001,43.570000,45.270000,44.029251,2347500
2019-08-12,44.950001,45.450001,43.130001,44.689999,43.465145,1540200
2019-08-19,45.450001,45.875999,43.360001,43.509998,42.317490,1079000
2019-08-26,44.060001,44.840000,42.650002,44.320000,43.105289,1403900
2019-09-02,43.950001,44.459999,43.080002,43.939999,42.735703,819700
2019-09-09,44.099998,45.889999,43.327999,45.250000,44.009800,1349300
2019-09-16,44.810001,45.560001,44.250000,44.740002,43.513779,954600
2019-09-23,44.630001,44.900002,42.279999,42.639999,41.471333,1241700
2019-09-30,42.730000,43.349998,40.119999,41.970001,40.819698,1834300
2019-10-07,41.799999,42.520000,40.610001,41.930000,40.780792,1080200
2019-10-14,41.860001,43.290001,41.509998,41.930000,40.780792,843800
2019-10-21,42.230000,43.580002,41.660000,43.520000,42.327213,896100
2019-10-28,43.740002,45.242001,43.740002,45.230000,43.990349,1330100
2019-11-04,45.630001,45.919998,45.056999,45.849998,44.593353,977400
2019-11-11,45.549999,47.480000,45.500000,47.400002,46.100872,838300
2019-11-18,47.410000,48.790001,47.009998,48.419998,47.092915,1030600
2019-11-25,48.889999,50.466000,48.750000,50.430000,49.047829,579800
2019-12-02,50.320000,50.430000,48.130001,49.459999,48.104412,875300
2019-12-09,49.490002,49.740002,48.830002,49.099998,47.754272,817300
2019-12-16,49.759998,51.299999,49.549999,50.959999,49.563297,1205600
2019-12-23,51.259998,52.009998,50.911999,51.139999,49.738369,747800
2019-12-30,51.060001,51.160000,49.349998,50.130001,48.936596,1012300
2020-01-06,49.520000,52.845001,49.430000,51.970001,50.732792,1423700
2020-01-13,52.529999,54.169998,52.299999,53.669998,52.392319,1634800
2020-01-20,53.799999,54.403999,52.410000,52.799999,51.543034,1342800
2020-01-27,51.200001,53.330002,51.000000,51.799999,50.566837,1606200
2020-02-03,52.310001,57.039001,52.150002,55.840000,54.510662,2365900
2020-02-10,56.290001,59.240002,56.220001,58.689999,57.292812,2427700
2020-02-17,58.990002,60.730000,58.205002,58.610001,57.214718,2315100
2020-02-24,55.439999,56.868000,49.599998,52.840000,51.582081,4695100
2020-03-02,53.549999,55.548000,51.090000,52.110001,50.869461,3524400
2020-03-09,48.000000,50.049999,39.096001,42.900002,41.878716,4774800
2020-03-16,37.549999,40.570000,33.000000,37.849998,36.948933,5133700
2020-03-23,37.549999,46.540001,36.630001,43.759998,42.718239,5498100
2020-03-30,44.189999,45.380001,39.410000,40.200001,39.242992,3372200
2020-04-06,42.380001,47.950001,42.020000,47.290001,46.164204,3966000
2020-04-13,47.169998,52.349998,46.111000,52.259998,51.015888,3949800
2020-04-20,51.639999,53.868000,49.750000,53.060001,51.796844,3220000
2020-04-27,54.070000,57.000000,51.669998,52.380001,51.133034,5462700
2020-05-04,51.709999,58.449001,51.529999,58.299999,56.912094,2970800
2020-05-11,57.549999,60.500000,54.310001,58.090000,56.707096,4163900
2020-05-18,60.070000,62.799999,59.619999,62.759998,61.265923,4317500
2020-05-25,64.900002,64.900002,59.650002,62.820000,61.324493,3955400
2020-06-01,63.360001,66.720001,62.930000,64.250000,62.720451,6546900
2020-06-08,64.989998,67.040001,60.611000,62.419998,60.934013,6998500
2020-06-15,60.740002,69.250000,60.740002,68.029999,66.410469,6415100
2020-06-22,68.660004,73.448997,68.410004,68.970001,67.328087,7664400
2020-06-29,69.349998,75.919998,67.730003,74.940002,73.155968,6623900
2020-07-06,77.269997,81.930000,76.500000,80.889999,78.964317,10064000
2020-07-13,83.000000,84.543999,75.010002,80.669998,78.749550,11110500
2020-07-20,81.239998,84.949997,77.400002,78.830002,76.953362,8475500
2020-07-27,79.800003,82.129997,78.800003,80.370003,78.456696,6646900
2020-08-03,81.309998,86.110001,81.199997,82.489998,80.526222,10565700
2020-08-10,84.660004,86.389999,81.385002,84.720001,82.703140,7416200
2020-08-17,85.389999,90.419998,85.320000,89.830002,87.691490,8950000
2020-08-24,91.900002,92.980003,87.400002,92.360001,90.161263,8981900
2020-08-31,92.860001,98.900002,81.330002,87.050003,84.977669,21613200
2020-09-07,82.790001,89.400002,82.110001,85.349998,83.318138,13651900
2020-09-14,86.660004,93.309998,86.589996,89.879997,87.740295,10503600
2020-09-21,88.389999,91.790001,85.269997,90.750000,88.589592,10505400
2020-09-28,92.919998,94.540001,90.959999,92.320000,90.122215,11445500
2020-10-05,93.559998,103.029999,93.559998,102.760002,100.313675,12640600
2020-10-12,104.769997,106.150002,101.120003,102.760002,100.313675,14475700
2020-10-19,104.110001,104.550003,96.855003,99.180000,96.818901,11868600
2020-10-26,98.160004,99.839996,89.949997,90.790001,88.628639,12563500
2020-11-02,91.970001,102.629997,89.389999,102.080002,99.649864,18564200
2020-11-09,105.000000,105.500000,91.800003,99.400002,97.033661,17543200
2020-11-16,99.650002,105.500000,98.202003,104.900002,102.402733,11248300
2020-11-23,106.269997,111.825996,105.599998,111.779999,109.118942,10865000
2020-11-30,113.660004,117.360001,108.800003,117.190002,114.400154,15121100
2020-12-07,119.010002,125.839996,117.720001,123.870003,120.921127,27002000
2020-12-14,126.089996,128.199005,122.522003,127.300003,124.269470,20358500
2020-12-21,126.970001,137.080002,126.250000,133.029999,129.863052,25625200
2020-12-28,135.550003,135.850006,120.809998,124.489998,121.526367,30969300
2021-01-04,126.220001,145.639999,122.440002,142.479996,141.313400,41499500
2021-01-11,140.250000,148.009995,136.800003,141.910004,140.748062,36612400
2021-01-18,145.360001,149.800003,143.889999,146.080002,144.883926,28182900
2021-01-25,148.561996,149.850006,135.050003,137.440002,136.314667,39742000
2021-02-01,139.979996,149.750000,138.410004,149.460007,148.236252,33145300
2021-02-08,152.050003,157.910004,150.460007,156.580002,155.297958,46557000
2021-02-15,159.050003,159.699997,146.089996,152.610001,151.360458,43642600
2021-02-22,149.720001,150.929993,126.070000,130.360001,129.292633,103161900
2021-03-01,134.539993,138.369995,106.250000,117.070000,116.111450,103627200
2021-03-08,117.000000,129.119995,109.239998,126.680000,125.642769,102445700
2021-03-15,127.050003,130.800003,118.199997,122.360001,121.358139,65802000
2021-03-22,124.000000,126.379997,109.550003,113.970001,113.036835,73654700
2021-03-29,113.599998,124.625000,108.809998,120.849998,119.860497,58792200
2021-04-05,124.360001,125.025002,120.610001,123.260002,122.250771,36526800
2021-04-12,122.690002,130.279999,120.230003,124.379997,123.361595,42100300
2021-04-19,122.570000,124.419998,116.540001,123.699997,122.687164,40294400
2021-04-26,124.629997,128.139999,119.849998,120.769997,119.781151,32814800
2021-05-03,121.209999,121.410004,105.680000,109.720001,108.821632,66968800
2021-05-10,108.379997,108.389999,97.220001,104.309998,103.455925,115993900
2021-05-17,102.750000,108.139999,100.029999,105.839996,104.973396,75539400
2021-05-24,106.830002,115.139999,105.900002,112.099998,111.182144,43200800
2021-05-31,112.849998,113.739998,107.389999,109.510002,108.613350,31423900
2021-06-07,109.269997,116.160004,108.930000,116.120003,115.169235,35397700
2021-06-14,116.589996,119.849998,111.879997,118.900002,117.926468,50507600
